Country,Continent,EF Proficiency,GDP (in US$ Millions),Population,Language 1
Afghanistan,Asia,448,20136,32890171,Pashto
Albania,Europe,527,17942,2829741,Albanian
Algeria,Africa,474,193601,45400000,Arabic
Andorra,Europe,,3400,79535,Catalan
Angola,Africa,428,124862,32097671,Portuguese
Antigua and Barbuda,North America,,1621,99337,English
Argentina,South America,,564277,47327407,Spanish
Armenia,Asia,499,14047,2963900,Armenian
Australia,Oceania,,1748334,26008148,English
Austria,Europe,641,479815,9027999,German
Azerbaijan,Asia,451,73369,10164464,Azerbaijani
Bahamas,North America,,12627,393450,English
Bahrain,Asia,476,44169,1501635,Arabic
Bangladesh,Asia,490,396543,172822086,Bengali
Barbados,North America,,5530,288000,English
Belarus,Europe,528,59394,9349645,Belarusian
Belgium,Europe,629,609887,11629213,Dutch
Belize,North America,,1991,430191,English
Benin,Africa,,18387,12506347,French
Bhutan,Asia,,2653,763200,Dzongkha
Bolivia,South America,524,41032,11797257,Spanish
Bosnia and Herzegovina,Europe,,23358,3320954,Bosnian 
Botswana,Africa,,18426,2410338,English
Brazil,South America,497,1833274,214708343,Portuguese
Brunei,Asia,,35555,429999,Malay
Bulgaria,Europe,580,89533,6520314,Bulgarian
Burkina Faso,Africa,,19621,25510181,French
Burundi,Africa,,3431,12574571,French
Cape Verde,Africa,,1997,563198,Portuguese
Cambodia,Asia,423,28020,15552211,Khmer
Cameroon,Africa,428,45713,24348251,English
Canada,North America,,2221218,38706478,English
Central African Republic,Africa,,2645,5633412,French
Chad,Africa,,12938,16818391,Arabic
Chile,South America,516,317594,19678363,Spanish
China,Asia,513,19911593,1412600000,Mandarin
Colombia,South America,465,351281,51049498,Spanish
Comoros,Africa,,1310,758316,Arabic
Congo (Congo-Brazzaville),Africa,,15951,5657000,French
Costa Rica,North America,520,65314,5163038,Spanish
C̫te d'Ivoire,Africa,,61340,26400000,French
Croatia,Europe,617,69459,3888529,Croatian
Cuba,North America,521,NA,11181595,Spanish
Cyprus,Asia,,27726,888005,Greek
Czechia (Czech Republic),Europe,563,296238,10516707,Czech
Democratic Republic of the Congo,Africa,386,49860,96452384,French
Denmark,Europe,636,399100,5883562,Danish
Djibouti,Africa,,3836,976107,Arabic
Dominica,North America,,635,72000,English
Dominican Republic,North America,520,109080,10535535,Spanish
Ecuador,South America,440,115462,17991440,Spanish
Egypt,Africa,455,435621,103360642,Arabic
El Salvador,North America,508,30720,6825935,Spanish
Equatorial Guinea,Africa,,16335,1505588,French
Eritrea,Africa,,2568,3601000,Tigrinya
Estonia,Europe,581,37202,1330068,Estonian
"Eswatini (fmr. ""Swaziland"")",Africa,,4646,1172000,English
Ethiopia,Africa,491,105325,117876000,Afar
Fiji,Oceania,,5172,898402,English
Finland,Europe,618,297617,5550066,Finnish
France,Europe,551,2936702,67841000,French
Gabon,Africa,,22456,2233272,French
Gambia,Africa,,2166,2487000,English
Georgia,Asia,512,20889,3728573,Georgian
Germany,Europe,616,4256540,83222442,German
Ghana,Africa,523,73894,30832019,English
Greece,Europe,591,222770,10678632,Greek
Grenada,North America,,1192,113000,English
Guatemala,North America,493,91019,17109746,Spanish
Guinea,Africa,,20952,12907395,French
Guinea-Bissau,Africa,,1656,1646077,Portuguese
Guyana,South America,,13543,743699,English
Haiti,North America,403,20168,11743017,French
Honduras,North America,506,30116,9546178,Spanish
Hungary,Europe,593,197813,9689000,Hungarian
Iceland,Europe,,27865,377280,Icelandic
India,Asia,515,3534743,1410164325,Hindi
Indonesia,Asia,466,1289295,272248500,Indonesian
Iran,Asia,501,1739012,85489070,Persian
Iraq,Asia,399,297341,41190700,Arabic
Ireland,Europe,,516146,5011500,Irish
Israel,Asia,,520703,9525500,Hebrew
Italy,Europe,535,2058330,58929360,Italian
Jamaica,North America,,15721,2734093,English
Japan,Asia,468,4912147,125502000,Japanese
Jordan,Asia,440,47745,11222080,Arabic
Kazakhstan,Asia,426,193611,19235248,Kazakh
Kenya,Africa,587,114679,47564296,English
Kiribati,Oceania,,216,120740,English
Kuwait,Asia,458,186610,4670713,Arabic
Kyrgyzstan,Asia,418,9017,6700000,Kyrgyz
Laos,Asia,,17347,7337783,Lao
Latvia,Europe,569,40266,1874900,Latvian
Lebanon,Asia,536,27320,6769000,Arabic
Lesotho,Africa,,2561,2159000,Sotho
Liberia,Africa,,3829,4661010,English
Libya,Africa,390,48773,6959000,Arabic
Liechtenstein,Europe,,NA,39315,German
Lithuania,Europe,579,69782,2794961,Lithuanian
Luxembourg,Europe,604,86898,645397,French
Madagascar,Africa,469,14616,26923353,French
Malawi,Africa,,12042,18989441,English
Malaysia,Asia,562,439373,32719000,Malay
Maldives,Asia,,5502,383135,Dhivehi
Mali,Africa,,19264,20856000,French
Malta,Europe,,17251,514564,Maltese
Marshall Islands,Oceania,,267,54516,English
Mauritania,Africa,,9280,4271197,Arabic
Mauritius,Africa,,11263,1266334,English
Mexico,North America,436,1322740,128271248,Spanish
Micronesia,Oceania,,427,105574,English
Moldova,Europe,532,13811,2597100,Romanian
Monaco,Europe,,NA,39150,French
Mongolia,Asia,461,18102,3440235,Mongolian
Montenegro,Europe,,6018,621306,Montenegrin
Morocco,Africa,477,133062,36619464,Arabic
Mozambique,Africa,482,18019,3832244,Portuguese
Myanmar (formerly Burma),Asia,429,69262,55294979,Burmese
Namibia,Africa,,13019,2550226,English
Nauru,Oceania,,134,11832,English
Nepal,Asia,492,36315,29192480,Nepali
Netherlands,Europe,,1013595,17727881,Dutch
New Zealand,Oceania,,257211,5130515,English
Nicaragua,North America,470,15764,6595674,Spanish
Niger,Africa,,15620,24112573,French
Nigeria,Africa,560,510588,211400708,English
North Korea,Asia,,NA,25660000,Korean
North Macedonia,Europe,,14198,1832696,Macedonian
Norway,Europe,632,541938,5435536,Norwegian
Oman,Asia,417,110127,4527446,Arabic
Pakistan,Asia,491,347743,225199937,Urdu
Palau,Oceania,,244,17957,English
Palestine State,Asia,,19698,5227193,Arabic
Panama,North America,475,70492,4278500,Spanish
Papua New Guinea,Oceania,,23590,9122994,English
Paraguay,South America,520,41935,7353038,Spanish
Peru,South America,505,240346,33035304,Spanish
Philippines,Asia,592,411978,111964704,Filipino
Poland,Europe,597,699559,38039000,Polish
Portugal,Europe,625,251915,10347892,Portuguese
Qatar,Asia,467,225716,2799202,Arabic
Romania,Europe,598,286509,19186201,Romanian
Russia,Europe,511,1829050,147190000,Russian
Rwanda,Africa,389,12060,12955768,English
Saint Kitts and Nevis,North America,,1114,54000,English
Saint Lucia,North America,,2082,178696,English
Saint Vincent and the Grenadines,North America,,953,110696,English
Samoa,Oceania,,816,199853,English
San Marino,Europe,,1698,33705,Italian
Sao Tome and Principe,Africa,,526,214610,Portuguese
Saudi Arabia,Asia,404,1040166,35013414,Arabic
Senegal,Africa,,28435,17223497,French
Serbia,Europe,599,65037,6871547,Serbian
Seychelles,Africa,,1750,99202,English
Sierra Leone,Africa,,4268,8297882,English
Singapore,Asia,635,424431,5453600,English
Slovakia,Europe,590,118434,5434712,Slovak
Slovenia,Europe,,63647,2108977,Slovene
Solomon Islands,Oceania,,1669,728041,English
Somalia,Africa,401,8491,16360000,Arabic
South Africa,Africa,606,426166,60142978,Afrikaans
South Korea,Asia,529,1804680,51745000,Korean
South Sudan,Africa,363,5730,13249924,English
Spain,Europe,540,1435560,47326687,Spanish
Sri Lanka,Asia,464,81934,22156000,Sinhala
Sudan,Africa,421,31460,44477425,Arabic
Suriname,South America,,2988,598000,Dutch
Sweden,Europe,623,621241,10468482,Swedish
Switzerland,Europe,575,841969,8736500,French
Syria,Asia,445,60043,18276000,Arabic
Tajikistan,Asia,405,7820,9506000,Tajik
Tanzania,Africa,485,77506,59441988,English
Thailand,Asia,419,522012,66795117,Thai
Timor-Leste,Asia,,1821,1369429,Portuguese
Togo,Africa,,8699,7886000,French
Tonga,Oceania,,528,99532,English
Trinidad and Tobago,North America,,25342,1367558,English
Tunisia,Africa,510,45642,11746695,Arabic
Turkey,Asia,478,692380,84680273,Turkish
Turkmenistan,Asia,,76591,6118000,Turkmen
Tuvalu,Oceania,,66,10679,Tuvaluan
Uganda,Africa,,46377,42885900,English
Ukraine,Europe,525,198316,41130432,Ukranian
United Arab Emirates,Asia,480,501354,9282410,Arabic
United Kingdom,Europe,,3376003,67081000,English
United States of America,North America,,25346805,332714858,English
Uruguay,South America,509,64283,3554915,Spanish
Uzbekistan,Asia,447,73060,35574287,Uzbek
Vanuatu,Oceania,,1015,301295,English
Venezuela,South America,475,49086,28705000,Spanish
Vietnam,Asia,,408947,98505400,Vietnamaese
Yemen,Asia,360,28134,30491000,Arabic
Zambia,Africa,,26665,18400556,English
Zimbabwe,Africa,,36387,15790716,Chewa
